"(Note: S: surface water sample, B: bottom water sample","Cell abundance (cells/L). Note: In this report, when a species' cell abundance is 4-7 e^5 cells/L, it is called a minor bloom; when the concentration is 7-13 e^5 cells/L, it is a regular bloom; if it is >13 e^5 cells/L, it is considered a major bloom. When the total cell abundance is 3-6 e^5 cells/L, it is considered a low cell abundance; when the concentration is < 3 e^5 cells/L, it is considered a very low cell abundance. ","A4S Note: Very low cell abundance, some debris","B3S Note: Low cell abundance, some debris","C1S Note: Low cell abundance, some debris","D3S Note: Low cell abundance, some debris","E1S Note: Low cell abundance, some debris",F2S Note: Very low cell abundance,"H4S Note: Low cell abundance, some debris",I2S Note: Very low cell abundance,J2 Note: Very low cell abundance,K2S Note: Very low cell abundance,A4B  Note: Low cell abundance,"B3B Note: Very low cell abundance, debris","C1B Note: Low cell abundance, debris","D3B Note: Low cell abundance, some debris","E1B Note: Very low cell abundance, some debris","F2B Note: Very low cell abundance, some debris",H4B Note: debris; low cell abundance,I2B Note: Very low cell abundance,J2B Note: Very low cell abundance,K2B Note: Very low cell abundance,A4S Note: Minor Skeletonema spp. bloom,B3S Note: minor Skeletonema spp. and Thalassiosira spp. blooms,C1S Note: minor Thalassiosira spp. bloom,D3S,E1S,F2S,H4S Note: Debris,I2S Note: Debris,J2S Note: Large amount of debris; low cell abundance,K2S Note: Low cell abundance,A4B Note: Minor Skeletonema spp. bloom,B3B Note: minor Thalassiosira spp. Bloom,C1B Note: minor Thalassiosira spp. bloom,D3B,E1B Note: No sample,F2B Note: minor Thalassiosira spp. bloom,H4B Note: Large amount of debris,I2B Note: Debris,J2B Note: Large amount of debris,K2B Note: Low cell abundance,"A4S Note: Minor Thalassiosira spp.3 (small, <10µm) bloom","B3S Note: Minor Thalassiosira spp.3 (small, <10µm) bloom",C1S Note: major Guinardia delicatula bloom,D3S,E1S Note: Low cell abundance,F2S Note: Low cell abundance ,H4S Note: Low cell abundance,I2S Note: Low cell abundance,J2S Note: Low cell abundance,K2S Note: Low cell abundance,A4B,B3B Note: Minor Thalassiosira spp bloom; debris,C1B Note: Minor Thalassiosira spp bloom,D3B Note: Major Thalassiosira spp bloom; debris,E1B Note:  Thalassiosira spp bloom; debris,F2B Note:  Thalassiosira spp bloom; debris ,H4B Note:  Thalassiosira spp bloom; debris ,I2B Note: debris; low cell abundance ,J2B Note:  Thalassiosira spp bloom; debris ,K2B Note: Low cell abundance,A4S Note: no sample,B3S Note: no sample,C1S Note: no sample,D3S Note: no sample,E1S Note: no sample,F2S Note: no sample,H4S Note: no sample,I2S Note: no sample,J2S Note: no sample,K2S Note: no sample,A4B Note: no sample,B3B Note: no sample,C1B Note: no sample,D3B Note: no sample,E1B Note: no sample,F2B Note: no sample,H4B Note: no sample,I2B Note: no sample,J2B Note: no sample,K2B Note: no sample,A4S Note: no sample,B3S Note: no sample,C1S Note: no sample,D3S Note: no sample,E1S Note: no sample,F2S Note: no sample,H4S Note: no sample,I2S Note: no sample,J2S Note: no sample,K2S Note: no sample,A4B Note: no sample,B3B Note: no sample,C1B Note: no sample,D3B Note: no sample,E1B Note: no sample,F2B Note: no sample,H4B Note: no sample,I2B Note: no sample,J2B Note: no sample,K2B Note: no sample,A4S Note: no sample,B3S Note: no sample,C1S Note: no sample,D3S Note: no sample,E1S Note: no sample,F2S Note: no sample,H4S Note: no sample,I2S Note: no sample,J2S Note: no sample,K2S Note: no sample,A4B Note: no sample,B3B Note: no sample,C1B Note: no sample,D3B Note: no sample,E1B Note: no sample,F2B Note: no sample,H4B Note: no sample,I2B Note: no sample,J2B Note: no sample,K2B Note: no sample,A4S Note: Regular blooms Small to medium-sized Thalassiosira ,"B3S Note: Regular mall-sized Thalassiosira bloom, minor Chaetoceros spp. bloom",C1S,D3S,"E1S Note: Ochromonas sp. bloom, Prorocentrum triestinum bloom",F2S Note: Minor Ochromonas sp. bloom,H4S Note: Minor Ochromonas sp. Bloom,I2S Note: Minor Ochromonas sp. Bloom,J2S  Note: very low cell abundance,K2S Note: Low cell abundance,A4B Note: no sample,B3b  Note: debris,C1b Note:  Note: debris,"D3b Note: debris, low cell abundance","E1b Note: debris, low cell abundance",F2b,"H4b Note: debris, low cell abundance",I2,J2b Note: very low cell abundance,K2b Note: very low cell abundance,"A4S Note: Blooms of Skeletonema spp. and Thalassiosira spp.3 (small, <10µm), ","B3S Note: Blooms of Thalassiosira spp.3 (small, <10µm) and Skeletonema spp., minor bloom of Nitzschia longissima","C1S Note: Bloom of Thalassiosira spp.3 (small, <10µm); minor bloom of Nitzschia longissima ",D3S ,E1S Note: minor bloom of Ochromonas spp.,F2S Note: minor bloom of Ochromonas spp.,H4S,I2S Note: Very low cell abundance,J2S,K2S Note: Low cell abundance,A4B Note: Debris; low cell abundance.,B3B Note: Large amount of debris; low cell abundance,C1 ,D3S Note: Large amount of debris.,"E1B Note: Debris, low cell abundance.",F2B Note: Debris; low cell abundance,H4B Note: Debris; low cell abundance.,I2B,J2B Note: low cell abundance.,K2B Note: very low cell abundance.,"A4S Note: major bloom of Thalassiosira spp.3 (small, <10µm), minor bloom of Ochromonas spp.","B3S Note: major bloom of Thalassiosira spp.3 (small, <10µm), minor bloom of Ochromonas spp.","C1S Note: regular bloom of Thalassiosira spp.3 (small, <10µm)","D3S Note: Minor bloom of Thalassiosira spp.3 (small, <10µm)","E1S Note: Minor bloom of Thalassiosira spp.3 (small, <10µm)",F2S,"H4S Note: Minor blooms of Thalassiosira spp.3 (small, <10µm) and Nitzschia longissima",I2S,J2S,K2S,A4B Note: Low cell abundance; large amount of debris,B3B Note: low cell abundanc,C1B Note: Low cell abundance,D3B Note: Low cell abundance; debris,E1B Note: very low cell abundance; debris,F2B Note: Very low cell abundance; debris,H4B Note: Very low cell abundance; debris,I2B Note: Very low cell abundance,J2B Note: Low cell abundance,K2B Note: Low cell abundance,A4S Note: low cell abundance,B3S Note: low cell abundance,C1S Note: low cell abundance,D3S Note: very low cell abundance,E1S Note: very low cell abundance,"F2S Note: some debris, very low cell abundance",H4S NOTE: minor bloom of Chaetoceros spp.,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S Note: low cell abundance,A4B Note: low cell abundance,B3B Note: very low cell abundance,"C1B Note: some debris, very low cell abundance","D3B Note: some debris, very low cell abundance","E1B Note: some debris, very low cell abundance","F2B Note: debris,  very low cell abundance",H4 Note: very low cell abundance,I2B Note: very low cell abundance,J2B Note: very low cell abundance,K2B Note: very low cell abundance,A4S Note: very low cell abundance,B3S Note: low cell abundance,C1S Note: low cell abundance,D3S Note: very low cell abundance,E1S Note: low cell abundance,F2S Note: very low cell abundance,H4S Note: very low cell abundance,I2S Note: very low cell abundance  ,J2S Note: very low cell abundance,K2S Note: very low cell abundance,A4B Note: very low cell abundance ,B3B Note: very low cell abundance  ,C1B Note: very low cell abundance,"D3B Note: Debris, very low cell abundance","E1B Note: large amount of debris, very low cell abundance",F2B Note: very low cell abundance,H4B Note: very low cell abundance,I2B Note: very low cell abundance  ,J2B Note: very low cell abundance   ,K2B Note: very low cell abundance  ,A4S Note: no sample,B3S Note: no sample,C1S Note: no sample,D3S Note: no sample,E1S Note: no sample,F2S Note: no sample,H4S Note: no sample,I2S Note: no sample,J2S Note: no sample,K2S Note: no sample,A4B Note: no sample,B3B Note: no sample,C1B Note: no sample,D3B Note: no sample,E1B Note: no sample,F2B Note: no sample,H4B Note: no sample,I2B Note: no sample,J2B Note: no sample,K2B Note: no sample
Phylum,Species,1/9/20,1/9/20,1/9/20,1/9/20,1/9/20,1/7/19,1/10/20,1/7/20,1/7/20,1/7/20,1/9/20,1/9/20,1/9/20,1/9/20,1/9/20,1/10/20,1/10/20,1/7/20,1/7/20,1/7/20,2/3/20,2/3/20,2/3/20,2/3/20,2/11/20,2/11/20,2/11/20,2/13/20,2/13/20,2/13/20,2/3/20,2/3/20,2/3/20,2/3/20,,2/11/20,2/11/20,2/13/20,2/13/20,2/13/20,3/10/20,3/10/20,3/10/20,3/10/20,3/11/20,3/11/20,3/11/20,3/9/20,3/9/20,3/9/20,3/10/20,3/10/20,3/10/20,3/10/20,3/11/20,3/11/20,3/11/20,3/9/20,3/9/20,3/9/20,April,April,April,April,April,April,April,April,April,April,April,April,April,April,April,April,April,April,April,April,May,May,May,May,May,May,May,May,May,May,May,May,May,May,May,May,May,May,May,May,June,June,June,June,June,June,June,June,June,June,June,June,June,June,June,June,June,June,June,June,7/7/20,7/7/20,7/7/20,7/7/20,7/8/20,7/8/20,7/8/20,7/6/20,7/6/20,7/6/20,,7/7/20,7/7/20,7/7/20,7/8/20,7/8/20,7/8/20,7/6/20,7/6/20,7/6/20,8/12/20,8/12/20,8/12/20,8/12/20,8/11/20,8/11/20,8/11/20,8/10/20,8/10/20,8/10/20,8/12/20,8/12/20,8/12/20,8/12/20,8/11/20,8/11/20,8/11/20,8/10/20,8/10/20,8/10/20,9/9/20,9/9/20,9/9/20,9/9/20,9/8/20,9/8/20,9/8/20,9/10/20,9/10/20,9/10/20,9/9/20,9/9/20,9/9/20,9/9/20,9/8/20,9/8/20,9/8/20,9/10/20,9/10/20,9/10/20,10/14/20,10/14/20,10/14/20,10/14/20,10/15/20,10/15/20,10/15/20,10/6/20,10/6/20,10/6/20,10/14/20,10/14/20,10/14/20,10/14/20,10/15/20,10/15/20,10/15/20,10/6/20,10/6/20,10/6/20,11/4/20,11/4/20,11/4/20,11/4/20,11/4/20,11/5/20,11/5/20,11/9/20,11/9/20,11/9/20,11/4/20,11/4/20,11/4/20,11/4/20,11/4/20,11/5/20,11/5/20,11/9/20,11/9/20,11/9/20,December,December,December,December,December,December,December,December,December,December,December,December,December,December,December,December,December,December,December,December
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocyclus,Actinocyclus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amphora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterionellopsis,"Asterionellopsis glacialis (Asterionella glacialis Castracane 1886 , A. japonica Cleve 1882)",,,1452,1452,,352,,,,,,,,,1452,,,,,,704,4400,4400,,,8800,8800,13200,13200,8800,,,,,,,,,17600,8800,,,,,,,,,171600,79200,,,,,1452,1452,17600,136400,13200,79200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,1452,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,17600,26400,,,,,,,,,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroplanus,Asteroplanus karianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria,Bacillaria paxillifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,5852,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum,Bacteriastrum spp.,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina,Cerataulina pelagica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros,Chaetoceros compressus,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,17600,2904,13200,22000,8800,13200,,,,,,1452,,,,,,,,,,,17600,8800,26400,,,1452,,,,1452,,1452,,,,1452,,352,8800,352,1452,,,,,,,,,,1452,,,,,,,1452,,,,,1452,,1452,,,,,704,,,,,352,1452,,,,,,,,,,,,,,,,,,,,,,,,
,resting spores of Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros constrictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros curvisetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros danicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros debilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
