,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S NOTE: a lot of debris,I2S NOTE: a lot of debris,J2S ,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S NOTE: little biomass,C1S NOTE: little biomass,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B NOTE: high biomass,E1B NOTE: high biomass ,F2B NOTE: high biomass,H4B NOTE: high biomass,I2B,J2B,K2B,A4S,B3S ,C1S ,D3S ,E1S,F2S,H4S,I2S,J2S,K2S ,A4B NOTE: HIGH BIOMASS,"B3B  NOTE: HIGH BIOMASS, A LOT OF DEBRIS",C1B ,D3B ,"E1B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","F2B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","H4B NOTE: HIGH BIOMASS, A LOT OF DEBRIS",I2B,J2B,K2B ,"A4S NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4S,I2S,J2S,K2S,"A4B NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4B,I2B,J2B,K2B,A4S Note: Thalassiosira BLOOM,B3S Note: Thalassiosira BLOOM,C1S Note: Thalassiosira BLOOM,D3S,E1S Note: VERY LOW BIOMASS,F2S Note: VERY LOW BIOMASS,H4S Note: VERY LOW BIOMASS,"I2S Note: FEW PHYTOPLANKTON, A LOT OF CILIATES (LABOEA)",J2S NOTE: VERY LOW BIOMASS,K2S,A4B Note:LARGE AMOUNT OF DEBRIS,B3B Note:LARGE AMOUNT OF DEBRIS,C1B Note: LARGE AMOUNT OF DEBRIS,D3B,E1B FEW CELLS,F2B ,H4B,I2B ,J2B NOTE: VERY LOW BIOMASS,K2B  VERY LOW BIOMASS,A4S  High biomass.,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S A lot of debris,A4B,B3B,C1B,D3B,E1B,F2B,H4B  A lot of debris,I2B A lot of debris,J2B,K2B Few cells,A4S ,B3S ,C1S,D3S ,E1S,F2S  Few cells,H4S  Very little biomass,I2S  Few cells,J2S Few cells,K2S Few cells,A4B  A lot of debris,B3B  A lot of debris,C1B  A lot of debris,D3B  A lot of debris ,E1B  A lot of debris ,F2B,H4B,I2B,J2B,K2B,A4S,B3S  Prorocentrum triestinum bloom ,C1S,D3S,E1S,F2S  Few cells,H4S  Few cells,I2S  Few cells,J2S  A lot debris,K2S,A4B,B3B,C1B  Lots of debris,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B  Lots of debris,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S Few cells,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B Few cells,A4S ,B3S,C1S,D3S,E1S,F2S few cells,H4S few cells,I2S Lots of debris,J2S Lots of debris,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B Lots of debris,K2B Few cells
,Chaetoceros spp.,,61600,,,57200,22000,22000,22000,,,,,30800,13200,13200,,8800,8800,,,52800,26400,,,39600,,35200,,88000,,74800,61600,52800,17600,83600,8800,22000,4400,79200,83600,96800,114400,8800,17600,61600,30800,61600,13200,140800,110000,22000,26400,30800,35200,57200,88000,35200,92400,149600,92400,242000,30800,17600,127600,176000,4400,74800,17600,13200,,330000,281600,66000,193600,255200,123200,123200,110000,26400,13200,,,,,,,,,,,,8800,,,,8800,,,4400,,,,,,,,,,,,,,,,,8800,,,,,26400,,26400,17600,,,4400,,39600,17600,,,,17600,13200,,,,22000,,585200,990000,136400,39600,162800,22000,,,22000,,,26400,,,,,,4400,,,,,,,,,246400,158400,118800,26400,,,17160,17160,,,131560,217360,120120,57200,79200,286000,110000,220000,440000,92400,215600,62920,51480,22000,193600,189200,66000,79200,79200,255200,145200,5852,52800,4400,,,22000,22000,26400,22000,,,,,,,17600,,5852,,,,,5852,,17600,4400,,4400,8800,,2904,,,,,,,,,,39600,,4400
,resting spores of Chaetoceros spp.,110000,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climacosphenia,Climacosphenia moniligera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethron,Corethron hystrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,4400,,,,,,,4400,,2,1452,,,,,,,,,,1452,,,,,,,,,,4400,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corethron criophlium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,8800,,,,,,4400,35200,57200,162800,74800,,,,5720,,1888,68640,22880,91520,62920,,,1452,,,13200,13200,5720,,,1452,4400,,1452,,22000,4400,1452,4400,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,1452
Coscinodiscus,Coscinodiscus asteromphalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus bipartitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus blandus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus concinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus lineatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus radiatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coscinodiscus spp.,,,,,4400,4400,1452,1452,2904,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,1452,,2904,1452,1452,,,,1452,,,,,,,,,26400,,2904,1452,,,,1452,1452,,,,,,,,,,,
Cyclindrotheca,Cyclindrotheca closterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,74800,325600,264000,567600,52800,8800,4400,8800,13200,17600,17600,88000,4400,4400,,4400,17600,8800,13200,255200,158400,35200,13200,26400,8800,,,,1452,35200,,,,4400,,4400,,4400,1452,57200,44000,8800,4400,,1452,,,1452,,,11440,,,,,,5720,,,8800,8800,4400,4400,4400,,1452,5720,,1452,22000,1452,1452,8800,4400,1452,1452,4400,,,1452,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,1452
Cyclotella,Cyclotella spp.,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,4400,,,,,,,,,,4400,,,,,4400,,,,,22000,,,,,8800,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.6,,,,,,1452,,,1452,,,,,,,,,,,,,,,,,,,,,,1452,,,,,2904,,1452,1452,,,,,,,,,,,,,,,,,,,,,,1452,,,,
,Cyclotella striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cyclotella stylorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbella ,Cymbella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyliosolen,Dactyliosolen fragilissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800,22000,30800,8800,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,
Delphineis,Delphineis surriella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delphineis spp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,4400,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,5720,5720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,
Detonula,Detonula confervacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74800,1452,26400,35200,,1452,,,,,22000,13200,30800,13200,,,,,,,598400,224400,118800,8800,,,,,,,356400,171600,105600,13200,,,,,,
,Detonula pumila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400,,,,,,,,,,,,,,,,,,,
Diatoma,Diatoma vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditylum,Ditylum brightwellii,,,,,,,,,,,4400,,8800,,,4400,,,,1452,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,8800,1452,,,,,,1452,,8800,,13200,,,,,,,,,,4400,,4400,,,4400,,,,4400,1452,,,,,,,,,,,,,,,,,,,,,,1452,,,1452,1452,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,1452,,,,,,,1888,,11440,11440,,4400,,8800,1452,4400,1452,1452,,1888,1452,,,,,,1452,13200,1452,,1452,1452,,1452,,,,,,,,,4400,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploneis,Diploneis smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diploneis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,4400,8800,,,,,,,,,,,1452,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,
Eucampia,Eucampia cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,8800,22000,13200,4400,,,,,,,,,1452,,,,,,3,,,4400,,,,,,,,,,,,,,,,,,,,,,8800,,8800,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eucampia zodiacus,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,22000,,17600,,8800,,,,,,,,,,,,,,,,,,,,,,,,,13200,22000,35200,13200,17600,,,,,,,5852,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51480,,7304,1452,8800,26400,,1452,8800,,,,8800,5852,8800,17600,39600,17600,,,35200,,,1452,,,,,,,,,,13200,,8800,13200,4400,,,,4400,,,,,,,,,,,,,,,,,,,,
Fragilaria,Fragilaria spp.,,17600,,,4400,,,4400,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,22000,1452,1452,8800,17600,1452,,,,,,,,,,,1452,,,8800,1452,,,,1452,1452,,,,,,,,4400,4400,,,,,,,,,,,,,,,,,,,,,1452,8800,13200,,,,1452,1452,,,,,,8800,,,,,,4400,,8800,4400,35200,,8800,8800,8800,4400,,,,13200,4400,4400,,,,1452,1452,,4400,,1452,,4400,4400,,,,,,,,,1452,,,,,,,,,11440,1888,,,11440,,,26400,13200,4400,,4400,,,,,17600,,,,8800,,,,4400,4400,,13200,,,1452,1452,,,,,,,,,,,,8800,1452,,,,,,,1452,,,4400,1452,,,2904,,1452,,1452,,,
Frustulia,Frustulia spp.,8800,8800,4400,,4400,13200,1452,4400,1452,1452,8800,13200,4400,4400,,13200,4400,4400,8800,,1452,,,1452,,,,,,4400,,,4400,,,,4400,,4400,,,,,,,13200,,,,,1452,1452,,4400,8800,35200,,,,4400,,,,,,,1452,,1452,,,,1452,,,,,4400,,1452,,,,,,,,,,,,,1452,,,,,,,,8800,8800,,,,,,,,,1452,4400,1452,4400,,,,,,,17600,,4400,,,,,,13200,22000,8800,,4400,,4400,8800,,8800,17600,,,,,,,,,,,,1452,8800,,,,,,,,4400,,,,,,1452,,,,1452,,11440,,,1887.6,,,1888,,,1452,17600,1452,,,8800,,1888,5720,1452,13200,,8800,,,,,1452,,,13200,17600,1452,,,,,,8800,,13200,8800,13200,1452,1452,1452,,17600,,1452,4400,,1452,,,,,,8800,,,,2904,,,1452,2904,,4400,
Gomphonema,Gomphonema spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammatophora,Grammatophora marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia,Guinardia delicatula,,,,,,,,1452,1452,,,,,,,,,,,,,,,26400,8800,13200,8800,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,8800,,,13200,,,30800,,17600,13200,4400,,,,,,,,,,13200,,,,,,17600,13200,,,,,,,,,13200,4400,,,,,,,,,8800,,22000,22000,,,,,22000,,8800,17600,,,,,,30800,,,61600,17600,,,8800,,,1452,,,1452,,,4400,,,4400,1452,,,4400,,4400,,,2904,13200,17600,17600,,,5720,,,,,45760,22880,11440,,,,,,8800,,,,11440,1452,,,,,17600,13200,26400,,7304,1452,,,66000,17600,,,,,,,48400,30800,,,,,,,8800,,,,,,,,1452,,1452,,,,,,,,,,,13200
,Guinardia striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,2904,13200,17600,52800,35200,34320,5720,14652,,,4400,13200,26400,74800,7304,17600,8800,1452,8800,8800,13200,61600,70400,83600,44000,88000,,,66000,13200,66000,149600,83600,,22000,17600,,,,1452,13200,,,,,,,,,2904,,,,,,,,
,Guinardia flaccida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guinardia spp. ,61600,26400,17600,8800,,4400,,4400,13200,,,,,,,,,,2904,,,8800,26400,,,,,,,,61600,26400,,,,,17600,,,,,13200,8800,,8800,,,,,,,,,,,1452,4400,,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haslea,Haslea spp.,,,,,,,,,,,,,,,,,,,,1452,,,,,1452,,,,,,,,4400,,,,,,,2904,1452,,,,,8800,4400,,1452,13200,1452,,1452,8800,,,,1452,,,,,,,,,,,,,8800,1452,,8800,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiaulus,Hemiaulus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemidiscus,Hemidiscus cuneiformis,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderia,Lauderia annulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptocylindrus,Leptocylindrus danicus,8800,17600,17600,,30800,8800,,2904,,1452,,17600,8800,44000,4400,,4400,4400,,8800,114400,44000,74800,79200,22000,8800,8800,8800,4400,8800,26400,17600,8800,30800,17600,22000,8800,13200,8800,4400,338800,162800,101200,118800,96800,136400,52800,26400,,26400,250800,101200,114400,,30800,,26400,,74800,35200,717200,457600,268400,299200,127600,83600,198000,105600,140800,123200,730400,510400,321200,338800,255200,272800,338800,224400,154000,70400,7612000,3872000,5170000,3300000,2442000,2244000,514800,1430000,1100000,862400,6710000,3555200,3335200,2970000,2574000,2921600,1636800,1751200,1227600,910800,17600,66000,17600,13200,30800,,,620400,92400,360800,272800,572000,563200,488400,184800,268400,79200,1161600,264000,492800,114400,61600,193600,83600,294800,96800,39600,61600,22000,,8800,13200,17600,,,,,211200,,26400,44000,8800,52800,4400,44000,39600,22000,,,,4400,,,,4400,17600,35200,,4400,,8800,,,,,,26400,,,22000,,28600,11440,,,,,,22880,40040,13200,17600,4400,8800,,22000,22000,3775,5720,10252,13200,,,8800,13200,8800,,4400,8800,4400,35200,136400,17600,22000,26400,,13200,44000,,1452,17600,8800,,8800,22000,17600,17600,,,1452,13200,,,,,1452,,1452,8800,,,,,,,,,,,
