"(Note: S: surface water sample, B: bottom water sample",cell abundance (cells/L),A4S,B3S,C1S,D3S Note: low cell abundance,E1S Note: low cell abundance,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S Note: low cell abundance,A4B,B3B,C1B,D3B ,E1B Note: low cell abundance,F2B NOTE: large amount of debris,H4B NOTE: large amount of debris,I2B  NOTE: large amount of debris,J2B NOTE: large amount of debris,K2B Note: low cell abundance,A4S Skeletonema bloom,B3S Skeletonema bloom,C1S Skeletonema bloom,D3S  ,E1S,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S  Note: low cell abundance,J2 S  Note: low cell abundance,K2 Note: low cell abundance,A4B Skeletonema bloom,B3B Skeletonema bloom,C1B Skeletonema bloom,D3B  ,E1B,F2B Note: low cell abundance,H4B Note: low cell abundance,I2B  Note: low cell abundance,J2B  Note: low cell abundance,K2B Note: low cell abundance,A4S  Skeletonema bloom,B3S ,C1S ,D3,E1S Note: low cell abundance,F2S Skeletonema bloom,H4S,I2S High biomass,J2S  NOTE: large amount of debris,K2S Note: low cell abundance,"A4B  Skeletonema bloom, VERY high biomass",B3B Skeletonema bloom,C1B Skeletonema bloom,"D3B Note: Skeletonema bloom, high cell abundance, large amount of debris","E1B  Note: Skeletonema bloom, high cell abundance, large amount of debris","F2B Note: Skeletonema bloom, high cell abundance, large amount of debris",H4B Note: Skeletonema bloom,"I2B Note: Skeletonema bloom, high cell abundance",J2B  NOTE: large amount of debris,K2B ,A4S,B3S ,C1S ,D3S   NOTE: large amount of debris,E1S  Note: low cell abundance,F2S,H4S ,I2S,J2S  NOTE: large amount of debris,K2S ,A4B,B3B,C1B,D3B   NOTE: large amount of debris,E1B  Note: low cell abundance,F2B  NOTE: large amount of debris,H4B  NOTE: large amount of debris,I2B  NOTE: large amount of debris,J2B  NOTE: large amount of debris,K2B Note: low cell abundance,A4S   Note: small Guinardia delicatula BLOOM. ,B3S  Note: small Guinardia delicatula bloom. ,C1S  Note: small Guinardia delicatula BLOOM. ,D3S ,E1S ,F2S Note: small Guinardia delicatula BLOOM.,H4S  Note: small Guinardia delicatula BLOOM.,I2S,J2S,K2S  NOTE: large amount of debris,A4B  NOTE: large amount of debris,B3B  ,C1B ,D3B,E1B  NOTE: large amount of debris,F2B,H4B,I2B  NOTE: large amount of debris,J2B  NOTE: large amount of debris,K2B  NOTE: large amount of debris,"A4S NOTE: Thalassiosira spp.3 (small, <10µm) BLOOM","B3S Note: Thalassiosira spp.3 (small, <10µm) BLOOM",C1S ,"D3S Note: Thalassiosira spp.3 (small, <10µm) BLOOM",E1S NOTE Note: low cell abundance,F2S ,H4S NOTE: Note: low cell abundance,I2S NOTE: VERY Note: low cell abundance,J2S  NOTE: large amount of debris,K2S,A4B  NOTE: large amount of debris,"B3B Note: Thalassiosira spp.3 (small, <10µm) BLOOM",C1B ,D3B ,E1B ,F2B ,H4B NOTE: Note: low cell abundance,I2B NOTE: Note: low cell abundance,J2B  NOTE: large amount of debris,K2B NOTE: Note: low cell abundance,A4S  Note:  small bloom of Cerataulina pelagica,"B3S  Note:  small blooms of Thalassionema nitzschiodes, Thalassiosira spp.3 (small, <10µm), and Cerataulina pelagica","C1S Note: blooms of Cerataulina pelagica and Thalassiosira spp.3 (small, <10µm)",D3S ,E1S ,"F2S Note: small bloom of Thalassiosira spp.3 (small, <10µm)",H4S,I2S NOTE: Cerataulina pelagica BLOOM,J2S Note: no sample,K2S NOTE: Cerataulina pelagica BLOOM,A4B NOTE: large amount of debris,B3B,C1B,D3B,E1B,F2B,H4B,I2B NOTE: Cerataulina pelagica BLOOM,J2B Note: no sample,K2B NOTE: Cerataulina pelagica BLOOM,A4S Note: Low cell abundance,B3S ,C1S,D3S ,E1S Note: very low cell abundance,F2S Note: very low cell abundance,H4S Note: very low cell abundance,I2S,J2S No sample,K2S,A4B NOTE: large amount of debris,B3B,C1B NOTE: Low cell abundance,D3B NOTE: large amount of debris,E1B NOTE: large amount of debris,F2S,H4B,I2B,J2B No sample,K2B,"A4S Note:  bloom of Thalassiosira spp.3 (small, <10µm)",B3S ,C1S,D3S,E1S,F2S,H4S Note: very low cell abundance,I2S,J2S,K2S,A4B NOTE: large amount of debris,B3B NOTE: large amount of debris,C1B NOTE: large amount of debris,D3B NOTE: large amount of debris,"E1B NOTE: large amount of debris, Low cell abundance",F2B NOTE: large amount of debris,H4B  NOTE: Low cell abundance,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B NOTE: debris,B3B NOTE: debris,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S Note: Eucampia zodiacus bloom,B3S Note: Eucampia zodiacus bloom,C1S Note: Eucampia zodiacus bloom,D3S,E1S,F2S,H4S,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S Note: low cell abundance,A4B Note: Eucampia zodiacus bloom,B3B Note: Eucampia zodiacus bloom,C1B Note: Eucampia zodiacus bloom,D3B,E1B Note: low cell abundance,F2B,H4B ,I2B Note: low cell abundance,J2B Note: low cell abundance,K2B Note: low cell abundance,A4S ,B3S,C1S,D3S,E1S,F2 S ,H4S ,I2S  Note: low cell abundance,J2S Note: debris,K2S Note: low cell abundance,A4B NOTE: large amount of debris,B3B,C1B NOTE: large amount of debris,D3B Note: low cell abundance,E1B,F2B ,H4B Note: debris,I2B Note: debris,J2B Note: debris,K2B Note: debris
Phylum,Species,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/7/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/8/16,1/7/16,2/1/16,2/1/16,2/1/16,2/1/16,2/2/16,2/2/16,2/2/16,2/4/16,2/4/16,2/4/16,2/1/16,,2/1/16,2/1/16,2/2/16,2/2/16,2/2/16,2/4/16,2/4/16,2/4/16,3/8/16,3/8/16,3/8/16,3/8/16,3/9/16,3/9/16,3/9/16,3/10/16,3/10/16,3/10/16,3/8/16,3/8/16,3/8/16,3/8/16,3/9/16,3/9/16,3/9/16,3/10/16,3/10/16,3/10/16,4/4/16,4/4/16,4/4/16,4/4/16,4/4/16,4/6/16,4/6/16,4/13/16,4/13/16,4/13/16,4/4/16,4/4/16,4/4/16,4/4/16,4/4/16,4/6/16,4/6/16,4/13/16,4/13/16,4/13/16,5/12/16,5/12/16,5/12/16,5/12/16,5/12/16,5/18/16,5/18/16,5/11/16,5/11/16,5/11/16,5/12/16,5/12/16,5/12/16,5/12/16,5/12/16,5/18/16,5/18/16,5/11/16,5/11/16,5/11/16,6/10/16,6/10/16,6/10/16,6/10/16,6/14/16,6/14/16,6/14/16,6/14/16,6/8/16,6/8/16,6/10/16,6/10/16,6/10/16,6/10/16,6/14/16,6/14/16,6/14/16,6/14/16,6/8/16,6/8/16,7/6/16,7/6/16,7/6/16,7/6/16,7/7/16,7/7/16,7/7/16,7/5/16,,7/5/16,7/6/16,7/6/16,7/6/16,7/6/16,7/7/16,7/7/16,7/7/16,7/5/16,7/5/16,7/5/16,8/3/16,8/3/16,8/3/16,8/4/16,8/4/16,8/4/16,8/4/16,8/1/16,,8/1/16,8/3/16,8/3/16,8/3/16,8/4/16,8/4/16,8/4/16,8/4/16,8/1/16,8/1/16,8/1/16,8/30/16,8/30/16,8/30/16,8/30/16,8/30/16,8/31/16,8/31/16,8/29/16,8/29/16,8/29/16,8/30/16,8/30/16,8/30/16,8/30/16,8/30/16,8/31/16,8/31/16,8/29/16,8/29/16,8/29/16,10/5/16,10/5/16,10/5/16,10/5/16,10/4/16,10/4/16,10/4/16,10/3/16,10/3/16,10/3/16,10/5/16,10/5/16,10/5/16,10/5/16,10/4/16,10/4/16,10/4/16,10/3/16,10/3/16,10/3/16,11/9/16,11/9/16,11/9/16,11/9/16,11/8/16,11/8/16,11/8/16,11/7/16,11/7/16,11/7/16,11/9/16,11/9/16,11/9/16,11/9/16,11/8/16,11/8/16,11/8/16,11/7/16,11/7/16,11/7/16,12/5/16,12/5/16,12/5/16,12/5/16,12/6/16,12/6/16,12/6/16,11/30/16,11/30/16,11/30/16,12/5/16,12/5/16,12/5/16,12/5/16,12/6/16,12/6/16,12/6/16,11/30/16,11/30/16,11/30/16
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,1452,1452,1452,1452,1452,1452,,1452,1452,,,,,1452,2904,,2904,4400,,,2904,,,,,1452,,,1452,,,,,,,,,1452,,,,,,,,8800,,1452,4400,4400,4400,,,,,,2904,1452,,,,,1452,,,,,,,,,,,,,,,,,1452,1452,,,,,,,,,1452,,,,,,,,4400,4400,,,1452,1452,,,4400,1452,,1452,1452,4400,8800,1452,2904,2904,1452,2904,8800,13200,1452,,,,,,,,,,,,,,,,,,8800,,1452,,,,,,,,1452,,,,2904,,1452,1452,,,8800,,1452,,,,,,,,,,,,1452,,,,1452,,,,,,1452,1452,1452,1452,,,,,,,1452,,,1452,,1452,,,,,,1452,,,,,,,2904,,,,,,,1452,,,,2904,,,,,,,1452,,,,2904,,,,,,1452,,2904
Actinocyclus,Actinocyclus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,1452,,,,,4400,1452,1452,1452,2904,,1452,4400,,,,,,,,2904,,,,,,,,,1452,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amphora spp.,1452,,,,1452,,,,,,2904,,1452,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,1452,8800,,,,,,,,1452,,,,,1452,1452,,,,,,,,,35200,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,8800,4400,,,,,,,,,,,,1452,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,1452,,,1452,,4400,1452,,,1452,,1452,,2904,,1452,2904,2904,,1452,,,,,8800,22000,2904,,1452,2904,,1452,1452,1452,13200,4400,2904,2904,1452,,,,,1452,1452,2904,,,1452,1452,,,2904,5852,,1452,2904,,,
Asterionellopsis,"Asterionellopsis glacialis (Asterionella glacialis Castracane 1886 , A. japonica Cleve 1882)",,,1452,,,,,,1452,1452,,,1452,1452,,,1452,,17600,,1452,,2904,,,1452,,1452,2904,52800,,4400,1452,,1452,,,,10252,35200,48400,13200,,17600,,44000,,532400,171600,96800,118800,70400,114400,26400,48400,127600,66000,110000,281600,145200,127600,325600,184800,8800,8800,1452,,13200,35200,26400,61600,,1452,4400,13200,2904,8800,61600,,,4400,,,,,,,1452,4400,1452,13200,14652,1452,1452,1452,1452,,8800,17600,22000,1452,,,,,,,,13200,1452,,,,1452,,13200,1452,1452,13200,8800,,,,,,,,,,4400,,,,1452,,,8800,26400,,8800,,,,,,,,35200,,105600,,,,,,,,61600,,22000,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,1452,,,,,,1452,,,,,,,,,,,,,,,,,
Asteroplanus,Asteroplanus karianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria,Bacillaria paxillifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,10252,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304,,,,,,,,,,,17600,,,,,,10252,,,,,,,,,,,,,,,,10252,,,,,,,,5852,7304,,,,,,,,,2904,,,,,,,,7304,,,8800
Bacteriastrum,Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina,Cerataulina pelagica,,,,,,,,,,,,,,,,,,,,,,,30800,,,4400,,8800,8800,,1452,,,,,,,,,,88000,13200,22000,8800,13200,8800,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,22000,88000,13200,,,,,4400,1452,,4400,1452,26400,,,,1452,1056000,836000,704000,70400,8800,22000,180400,1447600,,1298000,220000,30800,,30800,17600,30800,154000,2684000,,699600,,,,,,,,,,1452,,,,,,,2904,,,,44000,96800,44000,26400,8800,2904,,,8800,8800,,1452,,,,,,,8800,5852,8800,1452,13200,2904,4400,8800,5852,26400,48400,8800,,1452,,,,1452,13200,13200,8800,1452,13200,22000,17600,4400,,,,,1452,,4400,17600,8800,,,1452,2904,,1452,,17600,,,,13200,1452,2904,,2904,1452,,,,,,,1452,,,1452
Chaetoceros,Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,
,resting spores of Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39600,17600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros constrictus,,,,,,,,,,,,,,,,,,,,,,,,,30800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros curvisetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35200,22000,26400,30800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros danicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,1452,4400,,,,,,,13200,1452,8800,8800,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,1452,1452,2904,2904,4400,,,,4400,1452,,30800,,,8800,,2904,8800,7304,,,,,,,,,,,,,,,,,2904,,,,
,Chaetoceros debilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros decipiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros didymus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,resting spores of Chaetoceros didymus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros distans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros eibenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
