"(Note: S: surface water sample, B: bottom water sample",cell abundance (cells/L),A4S Note: Skeletonema bloom,B3S Note: Skeletonema bloom,C1S Note: Skeletonema bloom,D3S Note: Skeletonema bloom,E1S ,F2S NOTE: FEW CELLS ,H4S NOTE: DEBRIS,"I2S NOTE:  FEW CELLS, DEBRIS",J2S NOTE:  DEBRIS,K2S NOTE:  DEBRIS,A4B Note: Skeletonema bloom. DEBRIS.,B3B Note: Skeletonema bloom. DEBRIS.,C1B Note: SMALL Skeletonema bloom. DEBRIS.,D3B Note: DEBRIS.,E1B ,F2B NOTE: FEW CELLS ,H4B NOTE: LARGE AMOUNT OF DEBRIS,I2B ,J2B NOTE: LARGE AMOUNT OF DEBRIS,K2B NOTE:  DEBRIS,A4S Note: Skeletonema bloom,B3S Note: Skeletonema bloom,C1S Note: Skeletonema bloom,D3S Note: Skeletonema bloom,"E1S Note: Skeletonema bloom, DEBRIS","F2S Note: Skeletonema bloom, DEBRIS","H4S NOTE: Skeletonema bloom, DEBRIS",I2S NOTE: Skeletonema bloom,"J2S NOTE: Skeletonema bloom, DEBRIS",K2S NOTE: FEW CELLS ,A4B Note: Skeletonema bloom,B3B Note: Skeletonema bloom,C1B Note: Skeletonema bloom,D3B Note: Skeletonema bloom,E1B Note: Skeletonema bloom,F2B Note: Skeletonema bloom,"H4B NOTE: Skeletonema bloom, DEBRIS",I2B NOTE: Skeletonema bloom,"J2B NOTE: Skeletonema bloom, DEBRIS",K2B NOTE: FEW CELLS ,A4S Note: small Skeletonema bloom,B3S,C1S,D3S ,E1S  ,F2S ,H4S  Note: small Thalassionema nitzschiodes bloom,I2S Note: low cell abundance,J2S ,K2S  ,A4B Note: small Skeletonema and Thalassionema nitzschiodes blooms,B3B Note: small Thalassionema nitzschiodes bloom,C1B Note: small Thalassionema nitzschiodes bloom,D3B  Note: small Thalassionema nitzschiodes bloom,E1B Note: small Thalassionema nitzschiodes bloom; DEBRIS,F2B Note: small Thalassionema nitzschiodes bloom,H4B  Note: Skeletonema and Thalassionema nitzschiodes blooms; DEBRIS,I2B ,J2B  Note: Skeletonema bloom,K2B  ,A4S Note: small Guinardia delicatula and Leptocylindrus danicus blooms,B3SNote: small Leptocylindrus danicus bloom,C1S Note: no sample,D3S Note: small Thalassionema nitzschiodes bloom,E1S Note: low cell abundance,"F2S Note: debris, small Thalassionema nitzschiodes bloom",H4S  Note: low cell abundance,I2S,"J2S Note: debris, small Thalassionema nitzschiodes bloom",K2S   Note: low cell abundance,A4B Note: small Leptocylindrus danicus and Thalassionema nitzschiodes blooms,B3B Note: small Thalassionema nitzschiodes bloom,C1B Note: no sample,"D3B Note: debris, small Thalassionema nitzschiodes bloom",E1B Note: small Thalassionema nitzschiodes bloom,"F2B Note: debris, small Thalassionema nitzschiodes bloom",H4B  ,"I2B Note: debris, small Thalassionema nitzschiodes bloom","J2B Note: debris, small Thalassionema nitzschiodes bloom",K2B   Note: low cell abundance,A4S Note: small Dactyliosolen fragilissimus bloom,B3S Note: small Dactyliosolen fragilissimus bloom,C1S Note: small Dactyliosolen fragilissimus bloom ,D3S Note: small Dactyliosolen fragilissimus bloom,E1S Note: small Dactyliosolen fragilissimus bloom,F2S  Note: small Skeletonema bloom,H4S,I2S,J2S Note: debris,K2S   Note: low cell abundance,A4B Note: debris,B3B Note: small Dactyliosolen fragilissimus bloom,C1B Note: small Dactyliosolen fragilissimus  bloom ,"D3B Note: debris, small Dactyliosolen fragilissimus bloom","E1B Note: debris, small Dactyliosolen fragilissimus bloom",F2B  Note: small Skeletonema bloom,"H4B Note: debris, low cell abundance",I2B Note: debris,J2B Note: debris,K2B,A4S Note: few  diatoms,B3S Note: few  diatoms,C1S Note: few  diatoms,D3S  Note: few  diatoms,E1SNote: low cell abundance,F2S,H4S Note: very low cell abundance,I2S Note: very low cell abundance,J2S ,K2S ,A4B Note: Large amount of debris,B3 Note: Large amount of debris,C1B  Note: debris,D3B Note: Debris,E1B Note: Debris,F2B,H4B Note: very low cell abundance,I2B,J2B ,K2B ,"A4S Note:  Thalassiosira, Skeletonema blooms",B3S,C1S Note: small Thalassiosira bloom,D3S Note:  small Thalassiosira bloom,E1S ,F2S,H4S Note: low cell abundance,I2S Note: low cell abundance ,J2S Note: low cell abundance ,K2S Note: low cell abundance ,A4B Note:  Large amount of Debris,B3B Note:  Large amount of Debris,C1SNote:  Large amount of Debris,D3B Note:  Large amount of Debris,E1B Note:  Debris,F2B,H4B Note: low cell abundance,I2B Note: low cell abundance ,J2B,K2B Note: low cell abundance,"A4S Note: Nitzschia longissima, Skeletonema, Heterocapsa circularisquama blooms","B3S Note: Heterocapsa circularisquama, Pyramimonas spp. blooms. ","C1S Note: small sized Teleaulax spp, Pyramimonas spp. blooms",D3S Note: low cell abundance,E1S,F2S,H4S,I2S ,J2S ,K2S ,A4B Note: Lot of debris;  Heterocapsa circularisquama bloom,B3B Note: debris,C1B Note: debris; low cell abundance,D3B Note: Lot of debris,E1B Note: low cell abundance ,F2B,H4B Note: low cell abundance,I2B ,J2B Note: low cell abundance,K2B Note: low cell abundance,A4S ,B3S,C1S Note: low cell abundance ,D3S Note: low cell abundance ,"E1S Note: Debris; small bloom of Thalassiosira spp.3 (small, <10µm)","F2S; small bloom of Thalassiosira spp.3 (small, <10µm)","H4S Note: small bloom of Thalassiosira spp.3 (small, <10µm)","I2S Note: bloom of Thalassiosira spp.3 (small, <10µm)","J2S Note: bloom of Thalassiosira spp.3 (small, <10µm) ","K2S Note: debris; bloom of Thalassiosira spp.3 (small, <10µm)",A4B Note: Debris; low cell abundance,B3B Note: low cell abundance,C1B Note: low cell abundance,D3B  Note: low cell abundance,E1B  Note: low cell abundance,F2B Note: low cell abundance,H4B,I2B Note: low cell abundance,J2B ,K2B Note: low cell abundance,A4SNote: Debris,B3S,C1S,D3S,E1S  Note: low cell abundance,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S Note: low cell abundance,A4B Note: large amount of debris,B3B,C1B Note: large amount of debris,D3B Note: large amount of debris,E1B Note: debris,F2B Note: low cell abundance,H4B,I2B Note: low cell abundance,J2B Note: low cell abundance,K2B Note: low cell abundance,A4S Note: low cell abundance,B3S Note: low cell abundance,C1S Note: low cell abundance ,D3S,E1S,F2S,H4S ,I2S Note: debris,J2S Note: large amount of debris,K2S,A4B Note: low cell abundance,B3B Note: low cell abundance,C1B Note: low cell abundance ,D3B,E1B,F2B Note: debris,H4B ,I2B Note: debris,J2B Note: large amount of debris,K2B,A4S ,B3S,C1S Note: debris,D3S  Note: Low cell abundance,E1S Note: Very Low cell abundance,F2 S ,H4S  Note: debris,I2S  Note: Large amount of debris,J2S Note: Large amount of debris,K2S Note: low cell abundance,A4B,B3B,C1B Note: debris,D3B,E1B ,F2B ,H4B  Note: Large amount of debris,I2B  Note: Large amount of debris,J2B Note: Large amount of debris,"K2B Note: low cell abundance, Debris"
Phylum,Species,1/10/17,1/10/17,1/10/17,1/10/17,1/6/17,1/6/17,1/6/17,1/4/17,1/4/17,1/4/17,1/10/17,1/10/17,1/10/17,1/10/17,1/6/17,1/6/17,1/6/17,1/4/17,1/4/17,1/4/17,2/8/17,2/8/17,2/8/17,2/8/17,2/14/17,2/14/17,2/14/17,2/7/17,2/7/17,2/7/17,2/8/17,2/8/17,2/8/17,2/8/17,2/14/17,2/14/17,2/14/17,2/7/17,2/7/17,2/7/17,3/7/17,3/7/17,3/7/17,3/7/17,3/8/17,3/8/17,3/6/17,3/6/17,3/6/17,3/6/17,3/7/17,3/7/17,3/7/17,3/7/17,3/8/17,3/8/17,3/6/17,3/6/17,3/6/17,3/6/17,4/4/17,4/4/17,4/5/17,4/5/17,4/5/17,4/5/17,4/5/17,4/3/17,4/3/17,4/3/17,4/4/17,4/4/17,4/5/17,4/5/17,4/5/17,4/5/17,4/5/17,4/3/17,4/3/17,4/3/17,5/3/17,5/3/17,5/3/17,5/3/17,5/4/17,5/4/17,5/1/17,5/1/17,5/1/17,5/1/17,5/3/17,5/3/17,5/3/17,5/3/17,5/4/17,5/4/17,5/1/17,5/1/17,5/1/17,5/1/17,6/7/17,6/7/17,6/7/17,6/6/17,6/7/17,6/7/17,6/8/17,6/5/17,6/5/17,6/5/17,6/7/17,6/7/17,6/7/17,6/6/17,6/7/17,6/7/17,6/8/17,6/5/17,6/5/17,6/5/17,7/6/17,7/6/17,7/6/17,7/6/17,7/7/17,7/7/17,7/5/17,7/5/17,7/5/17,7/5/17,7/6/17,7/6/17,7/6/17,7/6/17,7/7/17,7/7/17,7/5/17,7/5/17,7/5/17,7/5/17,8/1/17,8/1/17,8/1/17,8/1/17,8/2/17,8/2/17,8/2/17,7/31/17,7/31/17,7/31/17,8/1/17,8/1/17,8/1/17,8/1/17,8/2/17,8/2/17,8/2/17,7/31/17,7/31/17,7/31/17,8/28/17,8/28/17,8/28/17,8/28/17,8/31/17,8/31/17,8/31/17,9/1/17,9/1/17,9/1/17,8/28/17,8/28/17,8/28/17,8/28/17,8/31/17,8/31/17,8/31/17,9/1/17,9/1/17,9/1/17,10/10/17,10/10/17,10/10/17,10/10/17,10/10/17,10/11/17,10/11/17,10/6/17,10/6/17,10/6/17,10/10/17,10/10/17,10/10/17,10/10/17,10/10/17,10/11/17,10/11/17,10/6/17,10/6/17,10/6/17,11/13/17,11/13/17,11/13/17,11/13/17,11/14/17,11/14/17,11/9/17,11/9/17,11/9/17,11/6/17,11/13/17,11/13/17,11/13/17,11/13/17,11/14/17,11/14/17,11/9/17,11/9/17,11/9/17,11/6/17,11/30/17,11/30/17,11/30/17,11/30/17,11/30/17,12/1/17,12/5/17,12/5/17,11/30/16,12/5/17,11/30/17,11/30/17,11/30/17,11/30/17,11/30/17,12/1/17,12/5/17,12/5/17,11/30/16,12/5/17
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,1452,,,,1452,704,1452,,,,,,1452,,,,1452,1452,,,1452,,,,1452,748,,1452,,,,,,,1452,,,,1452,,,,,1452,,,,2904,8800,748,8800,1452,1452,,2904,2904,,,13200,,1452,,,8800,,,,,8800,748,,,,,,2904,,,8800,,,,,,,,,,1452,,,,,,,1452,,,1452,2904,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,1452,,704,704,,,,,,,1452,,,,,,,,,,,,,1452,,1452,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,704,,,,,2904,,,,,704,,704,,2904,1452,,,,,,,,,,704,1452,1452,660,,,,,,,2904,704,,704,1452,704,,,,8800,2904,,704
Actinocyclus,Actinocyclus spp.,,,,1452,1452,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,1452,,,,2904,2904,,1452,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,704,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amphora spp.,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,8800,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,704,,2904,,,,,,,,,,,,1452,,,,704,,,,,,,,,,,,,704,,,,,,,,,,,,,,
Asterionellopsis,"Asterionellopsis glacialis (Asterionella glacialis Castracane 1886 , A. japonica Cleve 1882)",,,,,,,,1452,1452,1452,,,,,,,,,1452,1452,1452,,1452,,1452,,1452,1452,2904,,,,13200,26400,,,4400,8800,,1452,17600,8800,,,1452,1452,,1452,17600,17600,4400,,2904,1452,,8800,17600,13200,30800,26400,,,,,,,,,17600,1452,,,,,,,,,13200,13200,,2904,,1452,2904,,8800,1452,,,,5852,,17600,,,,,8800,1452,,,,,,,,,,2904,,,,1452,,,,,,,,,8800,,,,,,,,,,,,,,,,1452,17600,,,,,,,,,2904,2904,,,,,,,,,,,154000,,,,,,,,,,,,,,,,,,39600,30800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,8800,,,,,,,,,704,8800
Asteroplanus,Asteroplanus karianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria,Bacillaria paxillifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5852,,7304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304,,,,,,,,,,,10252
Bacteriastrum,Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina,Cerataulina pelagica,8800,2904,,8800,,,,,,,5852,,8800,,,,,,1452,,13200,2904,13200,48400,,17600,8800,,13200,8800,1452,8800,48400,,13200,2904,,13200,,,35200,136400,61600,110000,22000,,,,22000,7304,206800,26400,114400,52800,22000,52800,22000,13200,8800,8800,154000,162800,,,,,,,,,202400,26400,,8800,,,,,,,61600,110000,44000,88000,70400,13200,,,,,136400,118800,259600,48400,,,,,,,,,,,,,,8800,,,8800,,,,,,,,,,17600,,,,,,,,,,,,,,,,,,1452,,,8800,,,,,,,,,,,,,,,,,,,1452,8800,,1452,8800,,,,,,,,,,,704,,,13200,1452,8800,,,2904,13200,13200,35200,2904,,,4400,8800,4400,1452,2904,17600,4400,26400,26400,1452,,,,,,,4400,,,,1452,,,,1452,5852,,,,,2904,704,704,,1452,,4400,1452,,,704,1452,1452,2904,,,,1452,,
Chaetoceros,Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,resting spores of Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros constrictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros curvisetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros danicus,,,,,,,,,,,,,,1452,,,,,,,,,,,,5852,,,,,1452,,1452,8800,,,,1452,,1452,1452,,,,,,,1452,8800,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,1452,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros debilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros decipiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros didymus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
